number,study,Es_id,Type,site,Eutrophication,TN_mg_L,TP_mg_L,TN_TP,Chl.a_ug_L,TN_r1,TN_r2,TP_r1,TP_r2,TN_TP_r,Chl.a_r,T_C,SD_cm,DO,Data_Ioc,lnR
152,Wen7,7,Lake,Taihu Lake,Eutro,1.11,0.08,13.88,17.47,0.75,1.4,0.025,0.05,16,7,NA,71,NA,T1,0.891975143
153,Wen7,7,Lake,Taihu Lake,Eutro,1.32,0.12,11,23.87,0.75,1.4,0.025,0.05,16,7,NA,51,NA,T1,1.204112459
154,Chen8,8,Lake,Taihu Lake,Eutro,1.17241,0.100006,11.72,18.022,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,0
155,Chen8,8,Lake,Taihu Lake,Eutro,2.37931,0.0686871,34.64,22.8571,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,0.237668557
156,Chen8,8,Lake,Taihu Lake,Eutro,2.44828,0.0886883,27.61,21.0989,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,0.157627673
157,Chen8,8,Lake,Taihu Lake,Eutro,2.51724,0.0935954,26.89,22.6374,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,0.228010172
158,Chen8,8,Lake,Taihu Lake,Eutro,3.01149,0.128685,23.4,28.3516,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,0.453090232
159,Chen8,8,Lake,Taihu Lake,Hyper,3.57471,0.180372,19.82,51.6484,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,1.052865984
160,Chen8,8,Lake,Taihu Lake,Hyper,2.91954,0.143033,20.41,52.5275,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,1.069743608
161,Chen8,8,Lake,Taihu Lake,Eutro,2.71264,0.107168,25.31,25.2747,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,0.338210662
162,Chen8,8,Lake,Taihu Lake,Eutro,2.47126,0.109062,22.66,18.4615,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F3,0.024094249
163,Tan9,9,Lake,Dalian Lake,Eutro,1.1,0.06,18.33,9.98,0.75,1.4,0.025,0.05,16,7,NA,81,5.81,T1,0.835015548
164,Tan9,9,Lake,Dalian Lake,Eutro,1.14,0.08,14.25,11.7,0.75,1.4,0.025,0.05,16,7,NA,80,6.75,T1,0.9940213
165,Tan9,9,Lake,Dalian Lake,Oligo-meso,1.8,0.05,36,6.88,0.75,1.4,0.025,0.05,16,7,NA,86,8.18,T1,0.46305111
166,Tan9,9,Lake,Dalian Lake,Eutro,1.47,0.12,12.25,9.64,0.75,1.4,0.025,0.05,16,7,NA,43,4.03,T1,0.800353567
167,Tan9,9,Lake,Dalian Lake,Eutro,1.54,0.14,11,10.21,0.75,1.4,0.025,0.05,16,7,NA,48,4.95,T1,0.85780009
168,Tan9,9,Lake,Dalian Lake,Eutro,2.54,0.1,25.4,7.48,0.75,1.4,0.025,0.05,16,7,NA,53,5.43,T1,0.54666525
169,Tan9,9,Lake,Dalian Lake,Oligo-meso,1.35,0.1,13.5,5.92,0.75,1.4,0.025,0.05,16,7,NA,37,4.72,T1,0.312768907
170,Tan9,9,Lake,Dalian Lake,Oligo-meso,1.76,0.13,13.54,4.89,0.75,1.4,0.025,0.05,16,7,NA,35,5.17,T1,0.121624761
171,Tan9,9,Lake,Dalian Lake,Oligo-meso,3.55,0.09,39.44,4.33,0.75,1.4,0.025,0.05,16,7,NA,43,5.76,T1,0
172,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,1.59,0.095,16.74,68.5,0.75,1.4,0.025,0.05,16,7,NA,60,NA,T2,3.393924622
173,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,1.14,0.4,2.85,7.7,0.75,1.4,0.025,0.05,16,7,NA,68,NA,T2,1.208311206
174,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Oligo-meso,1.94,0.09,21.56,6,0.75,1.4,0.025,0.05,16,7,NA,54,NA,T2,0.958850346
175,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,1.83,0.13,14.08,64.9,0.75,1.4,0.025,0.05,16,7,NA,53,NA,T2,3.339938501
176,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,1.46,0.11,13.27,53.8,0.75,1.4,0.025,0.05,16,7,NA,57,NA,T2,3.152364344
177,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,1.58,0.1,15.8,75,0.75,1.4,0.025,0.05,16,7,NA,46,NA,T2,3.484578991
178,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,0.73,0.08,9.13,37.9,0.75,1.4,0.025,0.05,16,7,NA,64,NA,T2,2.802041989
179,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,0.67,0.05,13.4,21.8,0.75,1.4,0.025,0.05,16,7,NA,110,NA,T2,2.249000847
180,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,1.14,0.12,9.5,36.5,0.75,1.4,0.025,0.05,16,7,NA,45,NA,T2,2.764403138
181,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,1.88,0.39,4.82,129.2,0.75,1.4,0.025,0.05,16,7,NA,27,NA,T2,4.028452468
182,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Oligo-meso,1.11,0.04,27.75,3.6,0.75,1.4,0.025,0.05,16,7,NA,381,NA,T2,0.448024723
183,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,1.65,0.05,33,16.2,0.75,1.4,0.025,0.05,16,7,NA,37,NA,T2,1.952102119
184,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,0.59,0.03,19.67,10.3,0.75,1.4,0.025,0.05,16,7,NA,138,NA,T2,1.499234772
185,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Oligo-meso,0.47,0.03,15.67,4.2,0.75,1.4,0.025,0.05,16,7,NA,147,NA,T2,0.602175402
186,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,1.19,0.13,9.15,62.4,0.75,1.4,0.025,0.05,16,7,NA,47,NA,T2,3.300656152
187,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,0.72,0.06,12,17.8,0.75,1.4,0.025,0.05,16,7,NA,75,NA,T2,2.046289334
188,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Oligo-meso,0.58,0.04,14.5,4,0.75,1.4,0.025,0.05,16,7,NA,317,NA,T2,0.553385238
189,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,0.61,0.06,10.17,18.7,0.75,1.4,0.025,0.05,16,7,NA,33,NA,T2,2.095614401
190,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,0.75,0.07,10.71,30.5,0.75,1.4,0.025,0.05,16,7,NA,22,NA,T2,2.584817561
191,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,0.92,0.06,15.33,30.6,0.75,1.4,0.025,0.05,16,7,NA,24,NA,T2,2.588090886
192,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,3.39,0.26,13.04,254.4,0.75,1.4,0.025,0.05,16,7,NA,18,NA,T2,4.705998709
193,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Oligo-meso,1.34,0.01,134,2.3,0.75,1.4,0.025,0.05,16,7,NA,925,NA,T2,0
194,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,0.98,0.04,24.5,22.3,0.75,1.4,0.025,0.05,16,7,NA,36,NA,T2,2.271677556
195,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,2.84,0.28,10.14,89.2,0.75,1.4,0.025,0.05,16,7,NA,25,NA,T2,3.657971917
196,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,2.62,0.15,17.47,44.4,0.75,1.4,0.025,0.05,16,7,NA,26,NA,T2,2.960330347
197,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Hyper,1.4,0.12,11.67,31,0.75,1.4,0.025,0.05,16,7,NA,50,NA,T2,2.601078082
198,Zhu10,10,Lake,lakes in the middle and lower reaches of Yangtze River,Eutro,2.16,0.14,15.43,25.4,0.75,1.4,0.025,0.05,16,7,NA,56,NA,T2,2.401840051
199,Hou11,11,Lake,dianchi Lake,Hyper,8.1374,0.563787,14.43,60,0.75,1.4,0.025,0.05,16,7,17.07,NA,5.19,"F2,SF1",0.405465108
200,Hou11,11,Lake,dianchi Lake,Hyper,8.09994,0.609338,13.29,60,0.75,1.4,0.025,0.05,16,7,17.28,NA,5.29,"F2,SF1",0.405465108
201,Hou11,11,Lake,dianchi Lake,Hyper,9.26312,0.849791,10.9,70,0.75,1.4,0.025,0.05,16,7,17.52,NA,6.75,"F2,SF1",0.559615788
202,Hou11,11,Lake,dianchi Lake,Hyper,13.8493,1.22355,11.32,80,0.75,1.4,0.025,0.05,16,7,17.56,NA,3.56,"F2,SF1",0.693147181
203,Hou11,11,Lake,dianchi Lake,Hyper,11.5903,1.05892,10.95,70,0.75,1.4,0.025,0.05,16,7,17.69,NA,5.13,"F2,SF1",0.559615788
204,Hou11,11,Lake,dianchi Lake,Hyper,12.0865,1.13531,10.65,80,0.75,1.4,0.025,0.05,16,7,17.76,NA,4.94,"F2,SF1",0.693147181
205,Hou11,11,Lake,dianchi Lake,Hyper,13.0708,1.26284,10.35,100,0.75,1.4,0.025,0.05,16,7,17.72,NA,4.37,"F2,SF1",0.916290732
206,Hou11,11,Lake,dianchi Lake,Hyper,13.4784,1.10334,12.22,100,0.75,1.4,0.025,0.05,16,7,17.8,NA,4.27,"F2,SF1",0.916290732
207,Hou11,11,Lake,dianchi Lake,Hyper,14.5974,1.45654,10.02,60,0.75,1.4,0.025,0.05,16,7,18,NA,3.7,"F2,SF1",0.405465108
208,Hou11,11,Lake,dianchi Lake,Hyper,14.8719,1.37909,10.78,80,0.75,1.4,0.025,0.05,16,7,18.04,NA,5.39,"F2,SF1",0.693147181
209,Hou11,11,Lake,dianchi Lake,Hyper,15.5006,1.22472,12.66,90,0.75,1.4,0.025,0.05,16,7,18.04,NA,6.06,"F2,SF1",0.810930216
210,Hou11,11,Lake,dianchi Lake,Hyper,16.6635,1.41896,11.74,90,0.75,1.4,0.025,0.05,16,7,18.09,NA,5.29,"F2,SF1",0.810930216
211,Hou11,11,Lake,dianchi Lake,Hyper,11.6485,0.608139,19.15,40,0.75,1.4,0.025,0.05,16,7,18.06,NA,5.44,"F2,SF1",0
212,Hou11,11,Lake,dianchi Lake,Hyper,9.96813,0.82302,12.11,70,0.75,1.4,0.025,0.05,16,7,18.15,NA,6.37,"F2,SF1",0.559615788
213,Hou11,11,Lake,dianchi Lake,Hyper,10.8191,0.796759,13.58,110,0.75,1.4,0.025,0.05,16,7,18.44,NA,5.8,"F2,SF1",1.011600912
214,Hou11,11,Lake,dianchi Lake,Hyper,10.0263,0.791054,12.67,110,0.75,1.4,0.025,0.05,16,7,18.63,NA,6.1,"F2,SF1",1.011600912
215,Hou11,11,Lake,dianchi Lake,Hyper,8.43315,0.318717,26.46,70,0.75,1.4,0.025,0.05,16,7,18.7,NA,5.18,"F2,SF1",0.559615788
216,Hou11,11,Lake,dianchi Lake,Hyper,8.57544,0.574553,14.93,90,0.75,1.4,0.025,0.05,16,7,20.39,NA,5.45,"F2,SF1",0.810930216
217,Hou11,11,Lake,dianchi Lake,Hyper,9.38221,0.825306,11.37,61,0.75,1.4,0.025,0.05,16,7,17.1,NA,6.3,"F2,SF1",0.42199441
218,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,2.46,0.35,7.03,4.13,0.75,1.4,0.025,0.05,16,7,NA,174,NA,T1,1.963004582
219,Zhan12,12,Lake,Hongfeng Lake,Eutro,3.28,3.8,0.86,13.54,0.75,1.4,0.025,0.05,16,7,NA,355,NA,T1,3.150375443
220,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,1.37,0.005,274,0.82,0.75,1.4,0.025,0.05,16,7,NA,105,NA,T1,0.346276237
221,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,3.68,0.06,61.33,3.71,0.75,1.4,0.025,0.05,16,7,NA,158,NA,T1,1.855759052
222,Zhan12,12,Lake,Hongfeng Lake,Eutro,5.72,0.09,63.56,7.82,0.75,1.4,0.025,0.05,16,7,NA,234,NA,T1,2.60141173
223,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,2.45,0.02,122.5,0.58,0.75,1.4,0.025,0.05,16,7,NA,110,NA,T1,0
224,Zhan12,12,Lake,Hongfeng Lake,Eutro,3.39,0.11,30.82,7.13,0.75,1.4,0.025,0.05,16,7,NA,146,NA,T1,2.50903841
225,Zhan12,12,Lake,Hongfeng Lake,Eutro,5.99,0.3,19.97,20.44,0.75,1.4,0.025,0.05,16,7,NA,194,NA,T1,3.562220941
226,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,1.94,0.03,64.67,1.96,0.75,1.4,0.025,0.05,16,7,NA,96,NA,T1,1.217671649
227,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,2.35,0.55,4.27,4.61,0.75,1.4,0.025,0.05,16,7,NA,153,NA,T1,2.072955032
228,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,3.23,3.91,0.83,6.73,0.75,1.4,0.025,0.05,16,7,NA,251,NA,T1,2.451302319
229,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,1.61,0.1,16.1,2.66,0.75,1.4,0.025,0.05,16,7,NA,97,NA,T1,1.523053298
230,Zhan12,12,Lake,Hongfeng Lake,Eutro,2.67,0.27,9.89,7.29,0.75,1.4,0.025,0.05,16,7,NA,169,NA,T1,2.531230721
231,Zhan12,12,Lake,Hongfeng Lake,Eutro,4.56,0.52,8.77,15.56,0.75,1.4,0.025,0.05,16,7,NA,243,NA,T1,3.289430694
232,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,1.46,0.13,11.23,2.4,0.75,1.4,0.025,0.05,16,7,NA,76,NA,T1,1.420195913
233,Zhan12,12,Lake,Hongfeng Lake,Eutro,1.58,0.16,9.88,10.91,0.75,1.4,0.025,0.05,16,7,NA,151,NA,T1,2.934406975
234,Zhan12,12,Lake,Hongfeng Lake,Eutro,2.01,0.36,5.58,16.87,0.75,1.4,0.025,0.05,16,7,NA,260,NA,T1,3.370264072
235,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,1.24,0.07,17.71,5.28,0.75,1.4,0.025,0.05,16,7,NA,67,NA,T1,2.208653273
236,Zhan12,12,Lake,Hongfeng Lake,Eutro,1.58,0.07,22.57,12.69,0.75,1.4,0.025,0.05,16,7,NA,143,NA,T1,3.085541457
237,Zhan12,12,Lake,Hongfeng Lake,Eutro,2.26,0.1,22.6,25.25,0.75,1.4,0.025,0.05,16,7,NA,180,NA,T1,3.773553331
238,Zhan12,12,Lake,Hongfeng Lake,Oligo-meso,0.71,0.05,14.2,3.4,0.75,1.4,0.025,0.05,16,7,NA,90,NA,T1,1.768502607
239,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,6.44898,0.0954198,67.59,2.50056,0.75,1.4,0.025,0.05,16,7,11.18,NA,NA,"F3,F4,,F6",0.686999498
240,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,4.53061,0.116412,38.92,5.38205,0.75,1.4,0.025,0.05,16,7,2.14,NA,NA,"F3,F4,,F6",1.453554133
241,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,1.67347,0.0877863,19.06,2.14668,0.75,1.4,0.025,0.05,16,7,0.5,NA,NA,"F3,F4,,F6",0.534407253
242,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,4.32653,0.15458,27.99,2.46342,0.75,1.4,0.025,0.05,16,7,5.34,NA,NA,"F3,F4,,F6",0.672035419
243,Xiong13,13,Lake,Qingjiang Lake ,Eutro,0.142857,0.0687023,2.08,18.6516,0.75,1.4,0.025,0.05,16,7,11.98,NA,NA,"F3,F4,,F6",2.696416724
244,Xiong13,13,Lake,Qingjiang Lake ,Eutro,3.22449,0.916031,3.52,21.7707,0.75,1.4,0.025,0.05,16,7,19.39,NA,NA,"F3,F4,,F6",2.85104982
245,Xiong13,13,Lake,Qingjiang Lake ,Eutro,5.02041,0.129771,38.69,22.5884,0.75,1.4,0.025,0.05,16,7,25.8,NA,NA,"F3,F4,,F6",2.887921291
246,Xiong13,13,Lake,Qingjiang Lake ,Eutro,3.65306,0.467557,7.81,26.1466,0.75,1.4,0.025,0.05,16,7,26.99,NA,NA,"F3,F4,,F6",3.034203954
247,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,3.2449,0.0820611,39.54,2.36882,0.75,1.4,0.025,0.05,16,7,11.18,NA,NA,"F3,F4,,F6",0.632876732
248,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,1.55102,0.0610687,25.4,1.25799,0.75,1.4,0.025,0.05,16,7,2.14,NA,NA,"F3,F4,,F6",0
249,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,3.83673,0.0515267,74.46,4.04151,0.75,1.4,0.025,0.05,16,7,0.5,NA,NA,"F3,F4,,F6",1.167103175
250,Xiong13,13,Lake,Qingjiang Lake ,Eutro,1.87755,0.0973282,19.29,9.69153,0.75,1.4,0.025,0.05,16,7,5.34,NA,NA,"F3,F4,,F6",2.041737099
251,Xiong13,13,Lake,Qingjiang Lake ,Eutro,0.326531,0.0248092,13.16,16.186,0.75,1.4,0.025,0.05,16,7,11.98,NA,NA,"F3,F4,,F6",2.554631462
252,Xiong13,13,Lake,Qingjiang Lake ,Eutro,0.755102,0.46374,1.63,19.2442,0.75,1.4,0.025,0.05,16,7,19.39,NA,NA,"F3,F4,,F6",2.727694508
253,Xiong13,13,Lake,Qingjiang Lake ,Eutro,1.67347,0.116412,14.38,16.8138,0.75,1.4,0.025,0.05,16,7,25.8,NA,NA,"F3,F4,,F6",2.592684769
254,Xiong13,13,Lake,Qingjiang Lake ,Eutro,0.795918,0.0763359,10.43,18.109,0.75,1.4,0.025,0.05,16,7,26.99,NA,NA,"F3,F4,,F6",2.666893843
255,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,3.2449,0.133588,24.29,1.86106,0.75,1.4,0.025,0.05,16,7,11.18,NA,NA,"F3,F4,,F6",0.391631009
256,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,1.61224,0.402672,4,5.71981,0.75,1.4,0.025,0.05,16,7,2.14,NA,NA,"F3,F4,,F6",1.514420379
257,Xiong13,13,Lake,Qingjiang Lake ,Oligo-meso,9.36735,1.46565,6.39,2.55648,0.75,1.4,0.025,0.05,16,7,0.5,NA,NA,"F3,F4,,F6",0.709116103
258,Xiong13,13,Lake,Qingjiang Lake ,Eutro,2.04082,0.475191,4.29,8.37762,0.75,1.4,0.025,0.05,16,7,5.34,NA,NA,"F3,F4,,F6",1.896048655
259,Xiong13,13,Lake,Qingjiang Lake ,Eutro,1.91837,0.0362595,52.91,13.3825,0.75,1.4,0.025,0.05,16,7,11.98,NA,NA,"F3,F4,,F6",2.364432674
260,Xiong13,13,Lake,Qingjiang Lake ,Eutro,0.836735,0.603053,1.39,12.7198,0.75,1.4,0.025,0.05,16,7,19.39,NA,NA,"F3,F4,,F6",2.313644625
261,Xiong13,13,Lake,Qingjiang Lake ,Eutro,0.938776,0.549618,1.71,20.1273,0.75,1.4,0.025,0.05,16,7,25.8,NA,NA,"F3,F4,,F6",2.772561893
262,Xiong13,13,Lake,Qingjiang Lake ,Eutro,0.959184,0.59542,1.61,21.9268,0.75,1.4,0.025,0.05,16,7,26.99,NA,NA,"F3,F4,,F6",2.858194424
263,Wang14,14,Lake,Wapu lake,Hyper,0.41,0.07,5.86,33.3,0.75,1.4,0.025,0.05,16,7,NA,50,6.2,"T1,T2",2.165306974
264,Wang14,14,Lake,Wapu lake,Eutro,0.29,0.04,7.25,10.9,0.75,1.4,0.025,0.05,16,7,NA,85,7,"T1,T2",1.048512367
265,Wang14,14,Lake,Wapu lake,Eutro,0.73,0.07,10.43,16.9,0.75,1.4,0.025,0.05,16,7,NA,70,7.9,"T1,T2",1.487063199
266,Wang14,14,Lake,Wapu lake,Eutro,0.35,0.05,7,8.74,0.75,1.4,0.025,0.05,16,7,NA,90,6.8,"T1,T2",0.827659767
267,Wang14,14,Lake,Wapu lake,Oligo-meso,0.26,0.06,4.33,3.82,0.75,1.4,0.025,0.05,16,7,NA,80,7.4,"T1,T2",0
268,Wang14,14,Lake,Wapu lake,Eutro,0.37,0.04,9.25,12,0.75,1.4,0.025,0.05,16,7,NA,65,6.8,"T1,T2",1.144656227
269,Wang14,14,Lake,Wapu lake,Eutro,0.4,0.05,8,14.28,0.75,1.4,0.025,0.05,16,7,NA,73,7,"T1,T2",1.318609534
270,Wang 15,15,Lake,Taihu Lake,Hyper,0.72,0.07,10.29,105,0.75,1.4,0.025,0.05,16,7,24.4,NA,10.9,T1,2.096733039
271,Wang 15,15,Lake,Taihu Lake,Hyper,2.06,0.12,17.17,327,0.75,1.4,0.025,0.05,16,7,23.4,NA,8.8,T1,3.23273286
272,Wang 15,15,Lake,Taihu Lake,Eutro,0.38,0.03,12.67,28.4,0.75,1.4,0.025,0.05,16,7,23.5,NA,8.7,T1,0.789161834
273,Wang 15,15,Lake,Taihu Lake,Eutro,0.21,0.02,10.5,13.3,0.75,1.4,0.025,0.05,16,7,22.5,NA,8.37,T1,0.030536724
274,Wang 15,15,Lake,Taihu Lake,Eutro,0.25,0.03,8.33,12.9,0.75,1.4,0.025,0.05,16,7,23.5,NA,8.24,T1,0
275,Wang 15,15,Lake,Taihu Lake,Hyper,0.77,0.06,12.83,106,0.75,1.4,0.025,0.05,16,7,23.8,NA,8.7,T1,2.106211783
276,He16,16,Lake,Erhai lake,Eutro,0.516865,0.0220561,23.43,13.0446,0.75,1.4,0.025,0.05,16,7,23.65,150,NA,F2,1.256186712
277,He16,16,Lake,Erhai lake,Eutro,0.645833,0.0306542,21.07,12.9777,0.75,1.4,0.025,0.05,16,7,19.63,182.61,NA,F2,1.251044957
278,He16,16,Lake,Erhai lake,Eutro,0.477183,0.0375078,12.72,12.7232,0.75,1.4,0.025,0.05,16,7,16.02,210.87,NA,F2,1.231239556
279,He16,16,Lake,Erhai lake,Eutro,0.731151,0.0285981,25.57,9.96429,0.75,1.4,0.025,0.05,16,7,13.37,217.39,NA,F2,0.986820159
280,He16,16,Lake,Erhai lake,Eutro,1.36409,0.0320872,42.51,7.94196,0.75,1.4,0.025,0.05,16,7,10.89,284.78,NA,F2,0.759972553
281,He16,16,Lake,Erhai lake,Oligo-meso,1.13889,0.0322118,35.36,5.00446,0.75,1.4,0.025,0.05,16,7,12.43,267.39,NA,F2,0.298141972
282,He16,16,Lake,Erhai lake,Oligo-meso,0.571429,0.01919,29.78,3.87946,0.75,1.4,0.025,0.05,16,7,13.82,241.3,NA,F2,0.043508426
283,He16,16,Lake,Erhai lake,Eutro,0.649802,0.0262928,24.71,7.1875,0.75,1.4,0.025,0.05,16,7,17.22,343.48,NA,F2,0.660155863
284,He16,16,Lake,Erhai lake,Eutro,0.801587,0.0406231,19.73,10.3393,0.75,1.4,0.025,0.05,16,7,21.1,239.13,NA,F2,1.023764626
285,He16,16,Lake,Erhai lake,Eutro,0.930556,0.0570717,16.31,20.817,0.75,1.4,0.025,0.05,16,7,23.78,295.65,NA,F2,1.723582418
286,He16,16,Lake,Erhai lake,Eutro,1.04563,0.0617445,16.93,15.2054,0.75,1.4,0.025,0.05,16,7,23.39,173.91,NA,F2,1.409463085
287,He16,16,Lake,Erhai lake,Eutro,0.998016,0.0860436,11.6,15.8929,0.75,1.4,0.025,0.05,16,7,23.49,115.22,NA,F2,1.453684926
288,He16,16,Lake,Erhai lake,Eutro,0.534722,0.0224299,23.84,12.2545,0.75,1.4,0.025,0.05,16,7,18.91,147.83,NA,F2,1.193705674
289,He16,16,Lake,Erhai lake,Eutro,0.665675,0.0360748,18.45,10.2277,0.75,1.4,0.025,0.05,16,7,15.7,180.44,NA,F2,1.012912183
290,He16,16,Lake,Erhai lake,Eutro,0.549603,0.0319003,17.23,11.3929,0.75,1.4,0.025,0.05,16,7,13.21,210.87,NA,F2,1.120802812
291,He16,16,Lake,Erhai lake,Eutro,0.839286,0.0216199,38.82,7.58036,0.75,1.4,0.025,0.05,16,7,11.61,221.74,NA,F2,0.713373149
292,He16,16,Lake,Erhai lake,Oligo-meso,1.09722,0.0236137,46.47,5.19643,0.75,1.4,0.025,0.05,16,7,12.35,278.26,NA,F2,0.335784309
293,He16,16,Lake,Erhai lake,Oligo-meso,2.29762,0.0266667,86.16,3.71429,0.75,1.4,0.025,0.05,16,7,13.98,263.04,NA,F2,0
294,He16,16,Lake,Erhai lake,Oligo-meso,0.699405,0.0307165,22.77,6.83929,0.75,1.4,0.025,0.05,16,7,17.54,282.61,NA,F2,0.610496382
295,He16,16,Lake,Erhai lake,Eutro,0.882937,0.0212461,41.56,10.1652,0.75,1.4,0.025,0.05,16,7,21.26,315.22,NA,F2,1.006782579
296,He16,16,Lake,Erhai lake,Eutro,0.835317,0.0406854,20.53,23.6563,0.75,1.4,0.025,0.05,16,7,23.78,241.3,NA,F2,1.851441921
297,He16,16,Lake,Erhai lake,Eutro,0.787698,0.057134,13.79,16.8125,0.75,1.4,0.025,0.05,16,7,23.47,302.17,NA,F2,1.509935115
298,He16,16,Lake,Erhai lake,Eutro,1.06349,0.05919,17.97,12.9777,0.75,1.4,0.025,0.05,16,7,23.78,173.91,NA,F2,1.251044957
299,He16,16,Lake,Erhai lake,Eutro,0.837302,0.0872274,9.6,15.8929,0.75,1.4,0.025,0.05,16,7,23.47,115.22,NA,F2,1.453684926
300,Ba17,17,Lake,Wuliangsuhai,Hyper,11.87,0.33,35.97,68,0.75,1.4,0.025,0.05,16,7,NA,34,NA,T2,1.654558348
301,Ba17,17,Lake,Wuliangsuhai,Hyper,10.52,0.32,32.88,65,0.75,1.4,0.025,0.05,16,7,NA,38,NA,T2,1.609437912
302,Ba17,17,Lake,Wuliangsuhai,Hyper,10.13,0.32,31.66,61,0.75,1.4,0.025,0.05,16,7,NA,35,NA,T2,1.545924507
303,Ba17,17,Lake,Wuliangsuhai,Hyper,8.96,0.3,29.87,57,0.75,1.4,0.025,0.05,16,7,NA,47,NA,T2,1.47810191
304,Ba17,17,Lake,Wuliangsuhai,Hyper,7.48,0.31,24.13,52,0.75,1.4,0.025,0.05,16,7,NA,52,NA,T2,1.386294361
305,Ba17,17,Lake,Wuliangsuhai,Hyper,7.13,0.31,23,41,0.75,1.4,0.025,0.05,16,7,NA,58,NA,T2,1.148622709
306,Ba17,17,Lake,Wuliangsuhai,Hyper,6.9,0.25,27.6,26,0.75,1.4,0.025,0.05,16,7,NA,51,NA,T2,0.693147181
307,Ba17,17,Lake,Wuliangsuhai,Hyper,4.67,0.21,22.24,37,0.75,1.4,0.025,0.05,16,7,NA,65,NA,T2,1.045968555
308,Ba17,17,Lake,Wuliangsuhai,Eutro,3.91,0.23,17,26,0.75,1.4,0.025,0.05,16,7,NA,76,NA,T2,0.693147181
309,Ba17,17,Lake,Wuliangsuhai,Eutro,3.43,0.16,21.44,21,0.75,1.4,0.025,0.05,16,7,NA,51,NA,T2,0.47957308
310,Ba17,17,Lake,Wuliangsuhai,Eutro,3.21,0.23,13.96,17,0.75,1.4,0.025,0.05,16,7,NA,74,NA,T2,0.268263987
311,Ba17,17,Lake,Wuliangsuhai,Eutro,2.98,0.16,18.63,26,0.75,1.4,0.025,0.05,16,7,NA,69,NA,T2,0.693147181
